 31
 .001309 .043208
 .004177 .040258
 .001487 .041342
 .004515 .044896
 .010865 .069105
 .001759 .053671
 .002594 .046613
 .004950 .045492
 .007115 .053634
 .003186 .046923
 .002093 .047043
 .005202 .042955
 .004489 .039754
 .003642 .050224
 .003960 .036183
 .000141 .038844
 .000282 .043980
 .000392 .050467
 .005294 .058710
 .004801 .050000
 .002699 .044716
 .001879 .038128
 .004656 .045625
 .003842 .050449
 .002690 .053335
 .004793 .045450
 .003286 .047931
 .002338 .036047
 .005817 .035848
 .001993 .036762
 .002380 .039827
 1 1 1.000000
 1 2 .562289
 1 3 .746125
 1 4 .707857
 1 5 .336386
 1 6 .704836
 1 7 .680165
 1 8 .629523
 1 9 .379162
 1 10 .724315
 1 11 .566894
 1 12 .638969
 1 13 .476764
 1 14 .632612
 1 15 .545067
 1 16 .427249
 1 17 .471693
 1 18 .537818
 1 19 .469064
 1 20 .659323
 1 21 .640393
 1 22 .537710
 1 23 .676022
 1 24 .694944
 1 25 .702592
 1 26 .308208
 1 27 .676855
 1 28 .262308
 1 29 .541716
 1 30 .506944
 1 31 .473943
 2 2 1.000000
 2 3 .625215
 2 4 .570407
 2 5 .465845
 2 6 .524819
 2 7 .575280
 2 8 .553856
 2 9 .428105
 2 10 .564490
 2 11 .429724
 2 12 .589247
 2 13 .680078
 2 14 .563283
 2 15 .552695
 2 16 .429611
 2 17 .355594
 2 18 .508369
 2 19 .563444
 2 20 .518094
 2 21 .562836
 2 22 .539489
 2 23 .581244
 2 24 .590808
 2 25 .624840
 2 26 .349882
 2 27 .595283
 2 28 .257454
 2 29 .554135
 2 30 .535347
 2 31 .447247
 3 3 1.000000
 3 4 .757165
 3 5 .338075
 3 6 .696410
 3 7 .727737
 3 8 .682247
 3 9 .500445
 3 10 .743949
 3 11 .576614
 3 12 .629541
 3 13 .528111
 3 14 .687167
 3 15 .591806
 3 16 .492966
 3 17 .448244
 3 18 .570296
 3 19 .519442
 3 20 .723139
 3 21 .695113
 3 22 .599002
 3 23 .744860
 3 24 .736955
 3 25 .768065
 3 26 .302451
 3 27 .734750
 3 28 .287452
 3 29 .622041
 3 30 .585301
 3 31 .527182
 4 4 1.000000
 4 5 .379100
 4 6 .711454
 4 7 .745314
 4 8 .703036
 4 9 .510117
 4 10 .725528
 4 11 .556574
 4 12 .703845
 4 13 .557505
 4 14 .662025
 4 15 .540915
 4 16 .482531
 4 17 .505371
 4 18 .596545
 4 19 .533082
 4 20 .801269
 4 21 .719058
 4 22 .597422
 4 23 .829720
 4 24 .805143
 4 25 .737795
 4 26 .316097
 4 27 .706640
 4 28 .301167
 4 29 .597996
 4 30 .575460
 4 31 .512352
 5 5 1.000000
 5 6 .341611
 5 7 .376146
 5 8 .367790
 5 9 .316438
 5 10 .325370
 5 11 .216830
 5 12 .493905
 5 13 .417346
 5 14 .360562
 5 15 .335600
 5 16 .273437
 5 17 .277162
 5 18 .340891
 5 19 .555589
 5 20 .308989
 5 21 .317963
 5 22 .270173
 5 23 .411425
 5 24 .337973
 5 25 .374095
 5 26 .174444
 5 27 .391730
 5 28 .167192
 5 29 .259203
 5 30 .345611
 5 31 .229771
 6 6 1.000000
 6 7 .696077
 6 8 .637093
 6 9 .430358
 6 10 .738586
 6 11 .585409
 6 12 .618204
 6 13 .456092
 6 14 .632252
 6 15 .500670
 6 16 .435105
 6 17 .522473
 6 18 .524150
 6 19 .501132
 6 20 .673406
 6 21 .671824
 6 22 .571706
 6 23 .716180
 6 24 .708831
 6 25 .678212
 6 26 .297025
 6 27 .674499
 6 28 .350757
 6 29 .577717
 6 30 .544484
 6 31 .475234
 7 7 1.000000
 7 8 .688805
 7 9 .457055
 7 10 .789372
 7 11 .627457
 7 12 .665275
 7 13 .578328
 7 14 .686960
 7 15 .612139
 7 16 .496831
 7 17 .506935
 7 18 .569245
 7 19 .537298
 7 20 .728790
 7 21 .726317
 7 22 .609390
 7 23 .738997
 7 24 .760014
 7 25 .721679
 7 26 .389655
 7 27 .801464
 7 28 .378530
 7 29 .621502
 7 30 .580636
 7 31 .553082
 8 8 1.000000
 8 9 .520953
 8 10 .644860
 8 11 .596068
 8 12 .668523
 8 13 .555166
 8 14 .642301
 8 15 .574483
 8 16 .477371
 8 17 .444542
 8 18 .557942
 8 19 .487300
 8 20 .637503
 8 21 .730245
 8 22 .583254
 8 23 .803293
 8 24 .676545
 8 25 .666090
 8 26 .304839
 8 27 .678076
 8 28 .319516
 8 29 .618103
 8 30 .560111
 8 31 .522467
 9 9 1.000000
 9 10 .419566
 9 11 .402998
 9 12 .444027
 9 13 .407488
 9 14 .456407
 9 15 .461660
 9 16 .342712
 9 17 .355586
 9 18 .428565
 9 19 .375621
 9 20 .461947
 9 21 .475026
 9 22 .345834
 9 23 .517916
 9 24 .447935
 9 25 .450002
 9 26 .185522
 9 27 .468154
 9 28 .247678
 9 29 .428365
 9 30 .359799
 9 31 .385581
 10 10 1.000000
 10 11 .664283
 10 12 .604919
 10 13 .543683
 10 14 .678375
 10 15 .575413
 10 16 .532779
 10 17 .505349
 10 18 .550599
 10 19 .527463
 10 20 .724934
 10 21 .709387
 10 22 .618255
 10 23 .709248
 10 24 .788863
 10 25 .716094
 10 26 .287709
 10 27 .734548
 10 28 .401257
 10 29 .638676
 10 30 .566750
 10 31 .528871
 11 11 1.000000
 11 12 .548771
 11 13 .463988
 11 14 .617838
 11 15 .571897
 11 16 .532766
 11 17 .475298
 11 18 .513903
 11 19 .429783
 11 20 .623799
 11 21 .637489
 11 22 .603506
 11 23 .581547
 11 24 .654622
 11 25 .624564
 11 26 .321114
 11 27 .595753
 11 28 .260654
 11 29 .565628
 11 30 .529220
 11 31 .466792
 12 12 1.000000
 12 13 .541387
 12 14 .574561
 12 15 .532994
 12 16 .386951
 12 17 .480496
 12 18 .572464
 12 19 .542057
 12 20 .607633
 12 21 .671506
 12 22 .557901
 12 23 .701701
 12 24 .676854
 12 25 .649640
 12 26 .339274
 12 27 .638335
 12 28 .291848
 12 29 .576251
 12 30 .603816
 12 31 .514882
 13 13 1.000000
 13 14 .498801
 13 15 .524460
 13 16 .481218
 13 17 .333589
 13 18 .464431
 13 19 .517448
 13 20 .538504
 13 21 .537215
 13 22 .537805
 13 23 .540141
 13 24 .605197
 13 25 .544618
 13 26 .265099
 13 27 .544996
 13 28 .294638
 13 29 .654527
 13 30 .449152
 13 31 .451920
 14 14 1.000000
 14 15 .661148
 14 16 .493266
 14 17 .452920
 14 18 .572306
 14 19 .526421
 14 20 .720173
 14 21 .644967
 14 22 .662189
 14 23 .686433
 14 24 .649558
 14 25 .670916
 14 26 .293056
 14 27 .647036
 14 28 .222381
 14 29 .572085
 14 30 .575602
 14 31 .480407
 15 15 1.000000
 15 16 .482630
 15 17 .471532
 15 18 .507084
 15 19 .496463
 15 20 .575823
 15 21 .579715
 15 22 .646794
 15 23 .582884
 15 24 .597248
 15 25 .588777
 15 26 .249401
 15 27 .563518
 15 28 .340381
 15 29 .516906
 15 30 .571055
 15 31 .555327
 16 16 1.000000
 16 17 .328293
 16 18 .443367
 16 19 .417895
 16 20 .503293
 16 21 .583054
 16 22 .543093
 16 23 .477334
 16 24 .530744
 16 25 .520275
 16 26 .268389
 16 27 .499284
 16 28 .278603
 16 29 .481497
 16 30 .449616
 16 31 .453333
 17 17 1.000000
 17 18 .473310
 17 19 .399592
 17 20 .459824
 17 21 .517006
 17 22 .457552
 17 23 .491313
 17 24 .527981
 17 25 .477084
 17 26 .248529
 17 27 .488629
 17 28 .318183
 17 29 .425060
 17 30 .431646
 17 31 .341623
 18 18 1.000000
 18 19 .543113
 18 20 .576658
 18 21 .590538
 18 22 .552966
 18 23 .603157
 18 24 .576297
 18 25 .576239
 18 26 .317627
 18 27 .574981
 18 28 .272606
 18 29 .476747
 18 30 .558248
 18 31 .455405
 19 19 1.000000
 19 20 .490939
 19 21 .508640
 19 22 .503788
 19 23 .520306
 19 24 .518073
 19 25 .552571
 19 26 .240958
 19 27 .541925
 19 28 .210544
 19 29 .428587
 19 30 .483781
 19 31 .399211
 20 20 1.000000
 20 21 .701364
 20 22 .614224
 20 23 .746174
 20 24 .785987
 20 25 .725895
 20 26 .294696
 20 27 .681289
 20 28 .291884
 20 29 .602536
 20 30 .579138
 20 31 .523380
 21 21 1.000000
 21 22 .616869
 21 23 .695611
 21 24 .735107
 21 25 .688152
 21 26 .276376
 21 27 .684555
 21 28 .295848
 21 29 .612540
 21 30 .646195
 21 31 .590565
 22 22 1.000000
 22 23 .615121
 22 24 .612202
 22 25 .600488
 22 26 .321874
 22 27 .603745
 22 28 .245383
 22 29 .586872
 22 30 .700530
 22 31 .596929
 23 23 1.000000
 23 24 .768289
 23 25 .742909
 23 26 .294116
 23 27 .710512
 23 28 .301172
 23 29 .626874
 23 30 .555686
 23 31 .546435
 24 24 1.000000
 24 25 .725457
 24 26 .285890
 24 27 .721093
 24 28 .329230
 24 29 .680545
 24 30 .562223
 24 31 .514347
 25 25 1.000000
 25 26 .341727
 25 27 .724421
 25 28 .324742
 25 29 .595338
 25 30 .577495
 25 31 .505951
 26 26 1.000000
 26 27 .360061
 26 28 .139539
 26 29 .319414
 26 30 .329185
 26 31 .270104
 27 27 1.000000
 27 28 .343392
 27 29 .585837
 27 30 .573098
 27 31 .556018
 28 28 1.000000
 28 29 .367749
 28 30 .205773
 28 31 .236041
 29 29 1.000000
 29 30 .505442
 29 31 .490347
 30 30 1.000000
 30 31 .602996
 31 31 1.000000

